partNumber,partId,specificPartName,partGroupName,generalPartName,carModelName,carModelYear,carBrand
000050150010,29732,Выключатель на рулевой колонке,Контрольные приборы,Переключатель,Pathfinder,2009,Nissan
000050172010,29733,Выключатель на рулевой колонке,Контрольные приборы,Переключатель,Tacoma,2006,Toyota
000050177010,29734,Выключатель на рулевой колонке,Контрольные приборы,Переключатель,HR-V,2013,Honda
000050972010,29735,"Выключатель, стеклолодъемник",Дополнительные удобства,Переключатель,NV Cargo,2017,Nissan
000050986010,29736,"Выключатель, стеклолодъемник",Дополнительные удобства,Переключатель,Sentra,2018,Nissan
0 001 107 499,25796,Стартер,Система стартера,Стартер,EQS,2012,Mercedes-Benz
00030,30269,"Пыльник, приводной вал",Привод колеса,Пыльник,Kicks,2001,Nissan
000723112719,29737,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,Pilot,2011,Honda
000723132900,29738,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,GLS,2016,Mercedes-Benz
000723135500,29739,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,RS 3,2006,Audi
000723144000,29740,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,S6,2015,Audi
000723145500,29741,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,IONIQ 7,2009,Hyundai
000734000000,29742,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,Corvette,2018,Chevrolet
000735500000,29743,Щетка стеклоочистителя,Система очистки окон,Щетка стеклоочистителя,F-150,2005,Ford
00103,31257,"Крышка, резервуар охлаждающей жидкости",Охлаждение,Запор,Explorer,2011,Ford
00109,30270,"Пыльник, приводной вал",Привод колеса,Пыльник,Express Passenger,2011,Chevrolet
00141,30271,"Пыльник, рулевое управление",Рулевое управление,Пыльник,Golf R,2010,Volkswagen
00145,30272,"Пыльник, приводной вал",Привод колеса,Пыльник,IONIQ 6,2001,Hyundai
00222822,33000,Крепление стойки амортизатора,Кузов,Крепление,Sonata Hybrid,2010,Hyundai
00224558,33001,"Подшипник, приводной вал",Главная передача,Подшипник,RS 5,2024,Audi
00225032,33002,Крепление стойки амортизатора,Кузов,Крепление,GLB,2020,Mercedes-Benz
00226009,33003,"Опора, стабилизатор",Подвеска колеса,Подвеска,Murano,2020,Nissan
00226017,33004,"Гильза, подвески поперечного рычага",Подвеска колеса,Гильза,EQC,2001,Mercedes-Benz
00226019,33005,"Гильза, подвески поперечного рычага",Подвеска колеса,Гильза,Golf GTI,2017,Volkswagen
00226023,33006,"Гильза, подвески поперечного рычага",Подвеска колеса,Гильза,NV Cargo,2017,Nissan
00226026,33007,"Подвеска, рычаг независимой подвески колеса",Подвеска колеса,Подвеска,Versa,2012,Nissan
00227018,33008,"Подвеска, двигатель",Подвеска двигателя,Подвеска,ID. Buzz,2002,Volkswagen
00228045,33009,"Пыльник, приводной вал",Привод колеса,Пыльник,Express Passenger,2011,Chevrolet
00228047,33010,"Пыльник, приводной вал",Привод колеса,Пыльник,M4,2000,BMW
00228505,33011,"Подвеска, радиатор",Охлаждение,Подвеска,Land Cruiser,2016,Toyota
0026513,27433,"Прокладка, головка цилиндра",Головка цилиндра,Прокладкa,RS 3,2006,Audi
0026515,27434,"Прокладка, головка цилиндра",Головка цилиндра,Прокладкa,Trax,2017,Chevrolet
003-130007,24981,Стартер,Система стартера,Стартер,Highlander,2002,Toyota
00394,31258,Датчик давления масла,Смазывание,Переключатель,F-150,2005,Ford
005165,26152,Моторное масло,Химические продукты,Масло,Passport,2012,Honda
005343,26153,Моторное масло,Химические продукты,Масло,GT-R,2005,Nissan
005493,26154,Моторное масло,Химические продукты,Масло,Q3,2000,Audi
00610,31259,"Крышка, топливной бак",Система подачи топлива,Запор,S7,2012,Audi
00669,30273,"Резьбовая пробка, масляный поддон",Смазывание,Болт,Silverado 3500HD,2016,Chevrolet
008-20-01778,25357,"Фильтр, воздух во внутренном пространстве",Отопление / вентиляция,Фильтр,NV200,2018,Nissan
008-20-03328,25358,"Фильтр, воздух во внутренном пространстве",Отопление / вентиляция,Фильтр,Altima,2005,Nissan
008507100000,29744,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Tundra,2017,Toyota
008704,30572,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,Veloster,2008,Hyundai
008714,30573,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,A5,2008,Audi
008724,30574,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,Camaro,2000,Chevrolet
008734,30575,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,Blazer,2020,Chevrolet
008744,30576,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,Fusion,2023,Ford
008754,30577,"Лампа накаливания, фара дальнего света",Освещение,Лампа накаливания,ID. Crozz,2017,Volkswagen
008758,30578,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Golf GTI,2017,Volkswagen
008780,30579,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,Mach-E,2010,Ford
008781,30580,"Лампа накаливания, фонарь сигнала тормоза/задний габаритный",Освещение,Лампа накаливания,Sprinter,2003,Mercedes-Benz
008783,30581,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,GT-R,2005,Nissan
008784,30582,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,S-Class,2020,Mercedes-Benz
008785,30583,"Лампа накаливания, фонарь освещения номерного знака",Освещение,Лампа накаливания,Jetta,2019,Volkswagen
008789,30584,"Лампа накаливания, фонарь указателя поворота",Сигнализация,Лампа накаливания,A7,2002,Audi
008799,30585,"Лампа накаливания, основная фара",Освещение,Лампа накаливания,SQ5,2005,Audi
0 092 S40 010,25797,Стартерная аккумуляторная батарея,Система стартера,Аккумулятор,Breeze,2008,Honda
0 092 S50 040,25798,Стартерная аккумуляторная батарея,Система стартера,Аккумулятор,X3,2004,BMW
00991,31260,Катушка зажигания,Система зажигания,Катушка зажигания,Breeze,2008,Honda
00992,31261,Катушка зажигания,Система зажигания,Катушка зажигания,86,2015,Toyota
010311,26656,Генератор,Генератор,Генератор,Camaro,2000,Chevrolet
01034759B,26426,"Зубчатый диск импульсного датчика, противобл. устр.",Тормозная система,Зубчатый диск импульсного датчика,Q8,2005,Audi
01049,30274,"Комплект пылника, приводной вал",Привод колеса,Комплект пыльника,Accord Hybrid,2019,Honda
01050300,24779,"Прокладка, труба выхлопного газа",Система выпуска ОГ,Прокладкa,Elantra Hybrid,2018,Hyundai
0105.3069,28394,"Радиатор, охлаждение двигателя",Охлаждение,Теплообменник,SLC,2004,Mercedes-Benz
0105.9069,28395,"Радиатор, охлаждение двигателя",Охлаждение,Теплообменник,Expedition,2005,Ford
01089,27982,Антифриз,Охлаждение,Антифриз,IONIQ 7,2009,Hyundai
01.10.45,28851,"Клемма, система выпуска",Система выпуска ОГ,Клемма,Versa,2012,Nissan
01109,30275,"Комплект пылника, приводной вал",Привод колеса,Комплект пыльника,RS 3,2006,Audi
01141,30276,"Комплект пылника, рулевое управление",Рулевое управление,Комплект пыльника,370Z,2024,Nissan
01145,30277,"Комплект пылника, приводной вал",Привод колеса,Комплект пыльника,Pathfinder,2009,Nissan
01173,31262,"Крышка, топливной бак",Система подачи топлива,Запор,S-Class,2020,Mercedes-Benz
012.001,27212,"Резьбовая пробка, масляный поддон",Смазывание,Болт,Explorer Hybrid,2002,Ford
012-058,25768,"Комплект электрики, прицепное оборудование",Прицепное оборудование,Комплект электрики,Explorer,2011,Ford
01-24325-SX,32787,Выпускной клапан,Управление двигателем,Клапан,Mustang,2005,Ford
01-2504,30323,Направляющая втулка клапана,Головка цилиндра,Управление,GLE,2010,Mercedes-Benz
01-2505,30324,Направляющая втулка клапана,Головка цилиндра,Управление,Sequoia,2010,Toyota
012559,32686,"Газовая пружина, крышка багажник",Кузов,Газовая пружина,Passat,2020,Volkswagen
01.28.3160,29588,Рулевой механизм,Рулевое управление,Привод,Mach-E,2010,Ford
0131,26195,Моторное масло,Смазывание,Масло,Kona Electric,2012,Hyundai
013 VA 31029 100,29886,Выпускной клапан,Управление двигателем,Клапан,GLB,2020,Mercedes-Benz
01.41270,30759,Труба выхлопного газа,Система выпуска ОГ,Трубка,NV200,2018,Nissan
014 698 0006,30441,Комплект направляющей гильзы,Тормозная система,Комплект гильз,Tacoma,2006,Toyota
014 698 0006/S,30442,Комплект направляющей гильзы,Тормозная система,Комплект гильз,Insight,2007,Honda
014-928,25769,"Комплект электрики, прицепное оборудование",Прицепное оборудование,Комплект электрики,NV200,2018,Nissan
015 03 N0,29887,Комплект поршневых колец,Кривошипношатунный механизм,Комплект колец,GR Supra,2004,Toyota
015 03 N1,29888,Комплект поршневых колец,Кривошипношатунный механизм,Комплект колец,RS 6,2015,Audi
01515,31263,Масляный фильтр,Смазывание,Фильтр,ID. Vizzion,2004,Volkswagen
01.60602,30760,Глушитель выхлопных газов конечный,Система выпуска ОГ,Амортизатор,Accord,2011,Honda
0161,26196,Моторное масло,Смазывание,Масло,Bolt EV,2005,Chevrolet
016267B,26427,Комплект болтов головки цилидра,Головка цилиндра,Комплект болтов,C-Class,2019,Mercedes-Benz
01661,26018,Комплект тормозных колодок,Тормозная система,Комлект тормозных накладок,Express Cargo,2018,Chevrolet
017-00669,32105,"Подвеска, рычаг независимой подвески колеса",Подвеска колеса,Подвеска,Rav4,2013,Toyota
017-00679,32106,"Подвеска, рычаг независимой подвески колеса",Подвеска колеса,Подвеска,M3,2019,BMW
017-015-0019-B,24578,"Теплообменник, отопление салона",Отопление / вентиляция,Теплообменник,Impala,2012,Chevrolet
017-016-0013,24579,"Конденсатор, кондиционер",Кондиционер,Конденсатор,G-Class,2014,Mercedes-Benz
017-017-0018,24580,"Радиатор, охлаждение двигателя",Охлаждение,Теплообменник,Silverado 3500HD,2016,Chevrolet
017-021-0004,24581,"Осушитель, кондиционер",Кондиционер,Осушитель,ID. Vizzion,2004,Volkswagen
017-026-002,24582,"Компенсационный бак, охлаждающая жидкость",Охлаждение,Резервуар,S6,2015,Audi
017-027-004,24583,"Крышка, резервуар охлаждающей жидкости",Охлаждение,Запор,City,2022,Honda
017-027-005,24584,"Крышка, резервуар охлаждающей жидкости",Охлаждение,Запор,Escape,2016,Ford
017-28-900,24585,Фонарь освещения номерного знака,Освещение,Фонарь,EQS,2012,Mercedes-Benz
017-28-900LED,24586,Фонарь освещения номерного знака,Освещение,Фонарь,City,2022,Honda
017-28-905,24587,Фонарь освещения номерного знака,Освещение,Фонарь,S-Class,2020,Mercedes-Benz
017-31-051,24588,Внутренняя часть крыла,Кузов,Крыло,Tucson,2011,Hyundai
017-31-052,24589,Внутренняя часть крыла,Кузов,Крыло,Blazer,2020,Chevrolet
017-31-071,24590,Коврик,Внутренняя отделка,Коврик,Silverado 1500,2013,Chevrolet
017-31-071M,24591,Коврик,Внутренняя отделка,Коврик,G-Class,2017,Mercedes-Benz
017-31-100,24592,Капот двигателя,Кузов,Капот двигателя,Fit,2021,Honda
017-31-201,24593,Крыло,Кузов,Крыло,CLA,2021,Mercedes-Benz
017-31-202,24594,Крыло,Кузов,Крыло,Q7,2013,Audi
017-32-451,24595,"Решетка вентилятора, буфер",Кузов,Решетка-облицовка,EQS,2012,Mercedes-Benz
017-32-452,24596,"Решетка вентилятора, буфер",Кузов,Решетка-облицовка,AMG GT,2010,Mercedes-Benz
01759,31264,Лямбда-зонд,Приготовление смеси,Датчик,i3,2006,BMW
017-928,25770,"Комплект электрики, прицепное оборудование",Прицепное оборудование,Комплект электрики,Silverado 2500HD,2004,Chevrolet
017-938,25771,"Комплект электрики, прицепное оборудование",Прицепное оборудование,Комплект электрики,Camaro,2000,Chevrolet
018-379,25772,"Комплект электрики, прицепное оборудование",Прицепное оборудование,Комплект электрики,SQ5,2005,Audi
018-389,25773,"Комплект электрики, прицепное оборудование",Прицепное оборудование,Комплект электрики,4Runner,2004,Toyota
